Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,793,50,1678.66,1660.06,1661.51,1544.48,0.17,ant
2,791,50,1289.09,1283.05,1260.52,1140.38,0.16,ant
3,1402,50,1297.20,1292.98,1290.15,1180.88,0.17,ant
4,1223,50,620.65,616.25,584.68,411.91,0.16,ant
5,668,50,1657.53,1646.18,1621.37,1451.75,0.16,ant
6,761,50,1368.72,1360.51,1368.72,1202.40,0.16,ant
7,980,50,703.09,685.36,703.09,585.89,0.17,ant
8,779,50,1286.42,1282.85,1278.50,1228.83,0.16,ant
9,771,50,1652.05,1626.36,1611.91,1394.67,0.17,ant
10,791,50,1025.47,980.96,991.85,855.79,0.17,ant
