Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,412,50,1447.39,1382.58,1404.93,1021.17,0.16,hopper
2,470,50,2153.64,2155.93,2134.56,1751.29,0.18,hopper
3,631,50,2354.56,2319.88,2273.34,1808.07,0.18,hopper
4,439,50,1762.37,1752.95,1762.37,1262.30,0.17,hopper
5,395,50,1784.85,1777.49,1734.43,1434.39,0.17,hopper
6,375,50,1894.19,1822.55,1782.57,1509.71,0.18,hopper
7,447,50,1923.99,1892.22,1867.00,1709.84,0.18,hopper
8,604,50,1917.78,1875.53,1872.22,1708.59,0.18,hopper
9,451,50,1429.62,1422.92,1407.47,1122.58,0.17,hopper
10,433,50,1859.35,1812.91,1785.73,1532.08,0.17,hopper
