Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,408,50,2003.59,1969.07,1978.21,1611.29,0.17,hopper
2,415,50,1746.63,1733.27,1645.61,1349.68,0.17,hopper
3,528,50,1808.98,1783.40,1727.67,1414.13,0.17,hopper
4,476,50,1892.79,1891.14,1886.57,1753.67,0.18,hopper
5,358,50,2260.74,2186.37,2260.74,1618.30,0.19,hopper
6,358,50,2206.67,2150.43,2206.67,1751.92,0.18,hopper
7,436,50,2024.47,1963.37,1955.25,1799.92,0.18,hopper
8,404,50,1593.47,1591.71,1542.56,1270.42,0.17,hopper
9,362,50,2027.93,2023.11,2027.93,1836.96,0.18,hopper
10,418,50,2345.56,2295.11,2237.99,1949.44,0.18,hopper
