Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,925,50,1174.43,1151.79,1164.34,1001.60,0.17,ant
2,1947,37,99.75,95.68,97.39,84.59,0.17,ant
3,2097,37,96.57,90.57,88.74,78.91,0.16,ant
4,1407,50,849.90,835.87,822.77,710.69,0.18,ant
5,1535,50,870.60,842.61,870.53,728.18,0.17,ant
6,767,50,1399.56,1372.95,1368.43,1275.54,0.16,ant
7,986,37,1492.65,1475.62,1484.58,1396.27,0.17,ant
8,962,50,1497.66,1452.45,1485.07,1325.34,0.17,ant
9,1149,34,1151.45,1103.32,1151.45,1044.00,0.17,ant
10,1255,50,1267.61,1211.70,1258.63,1147.01,0.17,ant
11,1066,36,1035.99,1015.91,1011.03,921.75,0.16,ant
12,1600,50,949.41,935.07,945.76,751.74,0.17,ant
13,1323,50,793.48,774.41,793.01,697.52,0.17,ant
14,1388,50,505.57,489.50,496.27,420.72,0.17,ant
15,908,50,656.54,616.01,626.06,499.95,0.16,ant
16,722,50,752.47,728.71,716.42,608.38,0.16,ant
17,1228,37,1121.92,1004.32,1080.06,944.77,0.17,ant
18,738,50,1205.91,1176.69,1205.91,1109.74,0.17,ant
19,784,50,1528.71,1488.24,1500.48,1377.79,0.17,ant
20,587,50,1423.59,1390.33,1408.01,1280.89,0.16,ant
