Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,916,50,839.19,792.84,839.19,619.43,0.17,ant
2,1651,37,78.76,77.91,74.94,62.85,0.17,ant
3,996,20,1040.52,1033.50,1038.40,684.61,0.17,ant
4,785,50,1475.44,1461.57,1438.29,1327.69,0.17,ant
5,1187,50,1033.18,1016.26,997.30,870.37,0.17,ant
6,836,50,1374.72,1364.62,1374.72,1303.47,0.16,ant
7,1563,50,923.18,895.51,897.95,734.62,0.17,ant
8,1194,50,1084.02,1072.35,1084.02,851.77,0.17,ant
9,1097,50,1654.83,1606.09,1605.55,1457.34,0.17,ant
10,1030,50,1690.64,1683.88,1686.88,1525.63,0.17,ant
11,1180,50,1014.99,1015.97,1005.28,844.72,0.17,ant
12,1711,50,1487.43,1416.90,1435.15,1267.77,0.17,ant
13,1174,50,1340.42,1306.18,1298.11,1136.67,0.17,ant
14,1192,50,1186.59,1178.42,1186.59,1072.24,0.17,ant
15,937,50,823.22,805.95,806.77,668.77,0.17,ant
16,671,50,1348.07,1350.27,1334.45,1148.97,0.17,ant
17,854,50,1546.74,1515.17,1491.94,1286.48,0.16,ant
18,804,50,982.41,969.89,982.41,861.35,0.17,ant
19,948,50,1530.35,1530.63,1505.52,1392.13,0.17,ant
20,522,37,1358.89,1365.27,1314.90,935.90,0.16,ant
