Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,687,50,1854.18,1851.41,1854.18,1634.91,0.16,halfcheetah
2,6621,50,134.65,103.88,81.80,34.20,0.17,halfcheetah
3,480,50,2284.02,2259.33,2262.59,1841.07,0.16,halfcheetah
4,4303,50,842.65,717.00,575.36,261.17,0.18,halfcheetah
5,7582,50,114.30,67.32,51.80,18.98,0.17,halfcheetah
6,632,50,2459.88,2450.42,2457.25,2141.84,0.17,halfcheetah
7,630,50,2101.77,2091.09,2078.59,1718.04,0.16,halfcheetah
8,584,50,1061.81,1025.01,1039.00,894.19,0.16,halfcheetah
9,6995,50,155.14,100.88,85.20,40.92,0.17,halfcheetah
10,1012,24,1373.85,1339.83,1252.75,999.13,0.16,halfcheetah
11,510,50,1490.09,1493.82,1410.03,1087.27,0.16,halfcheetah
12,545,50,1412.54,1409.44,1412.54,1278.92,0.16,halfcheetah
13,766,45,2536.03,2501.25,2460.43,2028.24,0.16,halfcheetah
14,406,46,2727.01,2712.64,2724.47,2438.03,0.17,halfcheetah
15,587,50,1869.67,1878.67,1867.80,1505.23,0.16,halfcheetah
16,321,24,1602.35,1596.07,1592.72,1460.63,0.16,halfcheetah
17,477,50,2307.38,2225.73,2132.64,1701.03,0.15,halfcheetah
18,612,50,1629.69,1622.95,1587.92,1426.66,0.16,halfcheetah
19,417,46,1635.85,1642.97,1634.09,1495.63,0.16,halfcheetah
20,350,27,2142.00,2108.70,2081.17,1807.97,0.16,halfcheetah
