Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,673,50,1286.09,1283.79,1279.57,1121.29,0.15,halfcheetah
2,688,50,2174.36,2163.61,2151.34,1742.10,0.16,halfcheetah
3,1485,50,706.76,691.25,616.47,251.65,0.17,halfcheetah
4,1203,50,1313.78,1249.32,1228.09,865.12,0.18,halfcheetah
5,1046,47,1442.03,1384.68,1274.11,594.92,0.16,halfcheetah
6,713,50,1506.29,1472.08,1462.30,1207.48,0.16,halfcheetah
7,754,50,1778.18,1727.26,1635.40,1314.13,0.16,halfcheetah
8,852,50,1693.98,1685.19,1668.33,1493.45,0.17,halfcheetah
9,1305,50,1501.02,1517.45,1455.38,901.05,0.17,halfcheetah
10,2038,47,1243.95,1066.90,1032.64,483.42,0.18,halfcheetah
11,486,50,2511.61,2486.98,2496.96,2213.81,0.16,halfcheetah
12,418,50,1694.40,1692.29,1644.30,1422.64,0.16,halfcheetah
13,537,50,2275.43,2239.92,2228.01,2019.00,0.16,halfcheetah
14,1572,50,1832.27,1598.86,1175.17,475.09,0.17,halfcheetah
15,1228,50,1553.75,1534.73,1472.21,743.80,0.16,halfcheetah
16,1174,50,1765.38,1713.28,1626.72,797.72,0.16,halfcheetah
17,983,50,2471.09,2448.97,2443.33,2012.80,0.17,halfcheetah
18,828,50,2322.14,2280.00,2265.22,1915.39,0.17,halfcheetah
19,510,50,2604.77,2595.44,2540.60,2196.33,0.16,halfcheetah
20,425,50,2407.09,2391.20,2313.97,2027.22,0.15,halfcheetah
