Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,483,50,1954.94,1927.12,1953.25,1710.43,0.18,hopper
2,462,50,1864.12,1862.77,1784.87,1531.12,0.17,hopper
3,417,50,1701.54,1699.38,1701.54,1314.54,0.17,hopper
4,450,50,1421.54,1381.46,1334.47,1003.54,0.18,hopper
5,342,50,2420.71,2377.14,2372.83,2061.88,0.18,hopper
6,372,50,2105.30,2065.95,2012.17,1617.95,0.17,hopper
7,427,50,1798.59,1751.37,1706.83,1379.49,0.17,hopper
8,394,50,2198.58,2139.14,2126.89,1885.88,0.18,hopper
9,372,50,1984.64,1980.90,1958.53,1801.92,0.18,hopper
10,366,50,2158.83,2159.66,2158.83,1722.46,0.18,hopper
11,428,50,2340.46,2296.95,2224.31,1871.57,0.18,hopper
12,558,50,1854.87,1836.35,1819.46,1496.09,0.17,hopper
13,627,50,1781.84,1724.19,1775.42,1457.94,0.18,hopper
14,489,50,1833.44,1813.21,1757.00,1531.36,0.17,hopper
15,408,50,1767.12,1712.66,1681.41,1464.00,0.18,hopper
16,342,50,2125.74,2107.63,2077.06,1858.83,0.18,hopper
17,479,50,1847.57,1815.24,1777.31,1241.75,0.18,hopper
18,633,50,209.81,208.63,208.49,185.39,0.18,hopper
19,345,50,2455.31,2391.34,2331.50,2024.59,0.18,hopper
20,415,50,1327.61,1323.62,1324.21,1208.57,0.17,hopper
