Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,1072,50,1075.83,1050.53,1061.52,864.10,0.17,ant
2,1050,36,1096.48,1095.09,1052.69,881.94,0.17,ant
3,1222,37,767.24,750.52,743.12,528.05,0.17,ant
4,1173,50,1162.56,1133.19,1120.92,955.41,0.17,ant
5,1382,50,944.29,922.28,944.29,811.40,0.17,ant
6,1529,50,1155.02,1150.25,1135.73,1024.34,0.17,ant
7,1382,50,1098.25,1096.24,1085.52,948.77,0.17,ant
8,1121,50,1227.28,1230.65,1222.29,1043.92,0.17,ant
9,1365,50,674.53,678.14,658.86,573.14,0.17,ant
10,786,37,723.33,711.89,723.33,577.67,0.16,ant
11,1040,50,815.43,808.26,810.86,710.55,0.17,ant
12,817,50,1388.69,1384.90,1381.81,1186.19,0.16,ant
13,774,37,1202.64,1175.17,1170.94,928.06,0.17,ant
14,2011,33,104.93,96.29,93.45,69.41,0.17,ant
15,978,35,883.16,853.82,883.16,732.36,0.17,ant
16,1800,50,1073.83,1055.82,1072.68,990.75,0.17,ant
17,1721,50,828.30,827.17,828.30,595.60,0.16,ant
18,927,37,783.14,783.34,783.14,604.32,0.17,ant
19,985,37,594.19,575.06,562.41,445.91,0.16,ant
20,714,50,1418.26,1401.19,1417.28,1292.17,0.17,ant
