Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,688,50,1357.29,1349.90,1329.34,1117.52,0.16,halfcheetah
2,698,50,1777.38,1687.42,1729.92,1395.91,0.17,halfcheetah
3,2213,50,1076.46,1074.05,1067.95,508.45,0.17,halfcheetah
4,1032,50,1609.52,1529.13,1471.20,1066.06,0.17,halfcheetah
5,1217,50,1751.48,1739.32,1150.77,680.79,0.17,halfcheetah
6,713,50,1804.20,1706.39,1791.33,1580.42,0.17,halfcheetah
7,749,50,1608.27,1629.83,1593.99,1349.37,0.16,halfcheetah
8,915,50,1729.05,1705.52,1689.51,1409.79,0.17,halfcheetah
9,1421,50,2122.43,2073.03,2076.98,1824.15,0.18,halfcheetah
10,1783,50,1623.53,1502.88,1080.55,748.63,0.17,halfcheetah
11,490,50,2025.53,1925.73,2001.12,1656.00,0.17,halfcheetah
12,424,50,1685.22,1665.29,1658.49,1407.12,0.16,halfcheetah
13,555,50,2119.62,2114.49,2080.27,1829.70,0.16,halfcheetah
14,1469,50,2259.71,2172.15,2087.10,1679.70,0.17,halfcheetah
15,1358,50,2309.20,2073.01,2164.04,1389.38,0.17,halfcheetah
16,1343,50,2112.49,2052.79,1969.40,924.51,0.17,halfcheetah
17,1305,50,2399.98,2207.49,1640.90,1154.69,0.17,halfcheetah
18,841,50,2134.16,2078.61,2092.58,1771.45,0.17,halfcheetah
19,507,50,2680.01,2659.23,2632.65,2258.81,0.16,halfcheetah
20,422,50,1616.45,1599.84,1606.42,1458.55,0.15,halfcheetah
