Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,560,50,2059.11,2044.09,2021.12,1899.73,0.16,halfcheetah
2,8323,50,73.58,50.08,36.11,16.22,0.17,halfcheetah
3,504,50,1316.93,1314.93,1300.43,1148.45,0.16,halfcheetah
4,474,50,2430.11,2434.74,2399.05,2130.06,0.16,halfcheetah
5,1601,50,1753.83,1738.49,1696.53,1517.58,0.18,halfcheetah
6,4788,50,1340.70,1189.09,1152.13,876.49,0.18,halfcheetah
7,749,50,2229.04,2220.72,2214.08,1855.67,0.17,halfcheetah
8,601,50,2189.30,2201.41,2148.99,1848.43,0.16,halfcheetah
9,8898,50,68.91,41.34,37.43,17.50,0.17,halfcheetah
10,475,50,1710.09,1663.65,1680.49,1424.46,0.16,halfcheetah
