Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,446,50,2691.66,2667.36,2662.33,2446.93,0.16,halfcheetah
2,899,50,1844.41,1834.76,1827.23,1600.57,0.16,halfcheetah
3,646,50,1807.73,1802.92,1772.12,1512.44,0.16,halfcheetah
4,449,50,2597.36,2606.85,2557.24,2413.58,0.16,halfcheetah
5,3082,50,1820.88,1805.96,1780.86,1473.07,0.18,halfcheetah
6,527,50,2608.13,2587.67,2527.58,2209.87,0.17,halfcheetah
7,1005,50,1687.90,1627.97,1603.49,1336.90,0.17,halfcheetah
8,495,50,1528.33,1528.45,1527.75,1328.10,0.16,halfcheetah
9,879,50,1996.24,2015.66,1978.42,1760.49,0.16,halfcheetah
10,7718,50,200.81,67.51,41.32,16.77,0.17,halfcheetah
