Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,484,50,1676.47,1669.67,1613.49,1275.61,0.18,hopper
2,864,50,2174.93,2112.07,2153.56,1938.16,0.18,hopper
3,443,50,2171.74,2127.63,2088.69,1705.60,0.18,hopper
4,1775,50,1045.91,1008.67,1020.50,737.38,0.16,hopper
5,433,50,1663.23,1650.30,1645.23,1336.56,0.18,hopper
6,352,50,1373.84,1375.75,1355.06,1206.16,0.17,hopper
7,2353,50,1215.45,1207.38,1170.51,882.39,0.18,hopper
8,549,50,1935.04,1910.04,1889.31,1600.33,0.18,hopper
9,1748,50,1394.85,1398.22,1373.66,1159.78,0.17,hopper
10,348,50,1796.37,1778.00,1736.12,1482.35,0.18,hopper
11,842,50,1319.69,1290.64,1271.52,907.21,0.16,hopper
12,497,50,1638.01,1570.96,1561.01,1161.74,0.18,hopper
13,426,50,1941.33,1931.83,1911.58,1696.42,0.18,hopper
14,429,50,1790.61,1753.61,1749.00,1451.87,0.18,hopper
15,1786,50,1264.61,1263.43,1162.36,668.19,0.16,hopper
16,1830,50,1249.07,1232.34,1154.55,896.87,0.17,hopper
17,526,50,2213.57,2221.19,2070.48,1799.62,0.19,hopper
18,3849,50,644.27,634.58,610.50,423.88,0.17,hopper
19,374,50,2031.91,2020.11,2013.17,1601.99,0.18,hopper
20,815,50,2250.16,2189.51,2191.24,1597.74,0.17,hopper
