Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,489,50,1579.24,1575.16,1490.13,1281.70,0.17,hopper
2,1484,50,1803.68,1724.88,1777.25,1355.03,0.17,hopper
3,443,50,2344.63,2312.41,2239.25,1955.93,0.18,hopper
4,1614,50,1502.38,1487.16,1457.76,1283.15,0.18,hopper
5,435,50,1639.24,1590.59,1572.32,1297.76,0.17,hopper
6,357,50,1424.70,1427.94,1379.02,1121.18,0.17,hopper
7,1306,50,1632.79,1617.07,1553.09,1261.44,0.18,hopper
8,549,50,1915.64,1871.04,1914.35,1602.19,0.18,hopper
9,2997,50,1217.26,1155.05,1217.26,784.60,0.16,hopper
10,349,50,1829.83,1796.60,1764.90,1576.88,0.18,hopper
11,879,50,1941.40,1896.59,1852.14,1709.87,0.17,hopper
12,495,50,1773.97,1739.16,1773.97,1454.19,0.17,hopper
13,426,50,1879.43,1868.37,1859.74,1765.63,0.18,hopper
14,432,50,1707.75,1677.12,1621.27,1248.09,0.18,hopper
15,977,50,1566.12,1484.26,1396.32,1026.49,0.16,hopper
16,624,50,1294.52,1286.26,1271.18,1160.69,0.17,hopper
17,529,50,1977.70,1941.53,1965.99,1575.38,0.18,hopper
18,2152,50,1274.14,1234.61,1200.05,1015.29,0.16,hopper
19,377,50,1964.66,1928.88,1942.18,1795.17,0.17,hopper
20,1027,50,2175.91,2127.92,2146.00,1929.57,0.17,hopper
