Seed,Gen,Msteps,Bestfit,Bestgit,Bestsam,Avgfit,Paramsize
1,405,50,1483.33,1447.03,1410.73,926.35,0.17
2,461,50,2208.97,2231.40,2172.36,1590.01,0.18
3,626,50,2060.36,2019.28,1989.08,1517.46,0.18
4,433,50,1619.74,1600.31,1547.75,1301.83,0.18
5,390,50,1805.72,1733.50,1718.42,1340.49,0.17
6,366,50,1577.63,1516.98,1479.19,1038.61,0.18
7,442,50,1922.16,1892.79,1886.75,1626.32,0.18
8,603,50,1930.59,1908.39,1887.30,1549.10,0.18
9,448,50,1314.59,1303.09,1288.21,1068.75,0.18
10,426,50,1712.12,1727.75,1666.28,1191.04,0.18
