Seed,Gen,Msteps,Bestfit,Bestgit,Bestsam,Avgfit,Paramsize
1,396,50,1988.40,1983.60,1979.59,1670.70,0.18
2,600,50,1524.59,1484.19,1421.15,1090.14,0.17
3,598,50,1828.03,1831.56,1814.28,1395.78,0.18
4,377,50,1923.44,1909.25,1888.80,1495.39,0.18
5,408,50,1731.63,1731.97,1714.61,1452.56,0.18
6,3020,50,176.78,175.90,168.62,132.05,0.16
7,466,50,1595.09,1612.29,1474.82,1238.23,0.17
8,442,50,1732.39,1718.08,1658.27,1384.33,0.18
9,356,50,2024.70,1992.44,2024.70,1464.61,0.18
10,444,50,1973.09,1954.32,1973.09,1598.54,0.18
