Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,406,50,2008.76,1983.18,1991.55,1760.28,0.18,hopper
2,410,50,2221.11,2158.04,2183.29,1733.26,0.17,hopper
3,526,50,1784.91,1740.61,1683.34,1392.87,0.17,hopper
4,477,50,1772.51,1708.49,1733.39,1509.31,0.18,hopper
5,353,50,2298.79,2242.89,2245.55,1995.22,0.18,hopper
6,355,50,2039.34,2035.17,2017.17,1761.40,0.18,hopper
7,435,50,1902.95,1878.06,1885.67,1652.37,0.18,hopper
8,405,50,1589.61,1559.65,1537.70,1301.24,0.18,hopper
9,363,50,2087.40,2092.78,2082.88,1880.07,0.19,hopper
10,420,50,2283.93,2249.28,2256.85,1973.27,0.18,hopper
