Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,1350,50,494.25,478.03,455.03,363.44,0.16,ant
2,847,50,821.72,790.38,808.04,740.69,0.17,ant
3,1247,50,1347.41,1348.65,1342.49,1278.76,0.17,ant
4,884,50,1219.95,1208.28,1192.33,994.50,0.17,ant
5,981,50,1240.45,1246.96,1192.08,1082.96,0.17,ant
6,1649,50,1092.52,1086.16,1085.13,1012.23,0.17,ant
7,904,50,1592.47,1568.98,1564.57,1464.30,0.16,ant
8,1099,50,1255.65,1273.26,1239.47,1091.37,0.17,ant
9,1023,50,1392.96,1365.87,1392.96,1256.57,0.17,ant
10,1245,50,1402.34,1399.05,1391.49,1299.26,0.16,ant
