Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,860,50,1459.57,1451.20,1455.29,1176.99,0.16,walker
2,534,50,281.55,269.63,247.99,193.09,0.16,walker
3,1215,50,385.37,378.71,362.37,285.59,0.17,walker
4,724,50,122.24,111.59,115.72,101.62,0.14,walker
5,984,50,589.73,553.15,565.82,425.95,0.16,walker
6,540,50,552.40,549.04,547.96,495.06,0.16,walker
7,553,50,788.01,769.23,767.76,563.32,0.16,walker
8,1906,50,129.36,125.15,123.29,103.25,0.16,walker
9,665,50,299.46,293.37,283.94,245.85,0.16,walker
10,429,50,610.11,582.14,590.58,482.40,0.16,walker
