Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,407,50,760.93,751.48,724.89,609.68,0.16,walker
2,685,50,131.75,121.57,123.55,110.07,0.16,walker
3,752,50,1424.26,1373.87,1424.26,1093.70,0.16,walker
4,608,50,745.12,735.93,709.40,547.61,0.17,walker
5,565,50,896.70,867.33,840.33,706.23,0.17,walker
6,836,50,853.34,834.62,843.47,675.81,0.16,walker
7,393,50,736.02,659.69,712.21,595.56,0.17,walker
8,915,50,1035.93,1019.60,943.49,770.50,0.16,walker
9,603,50,805.38,796.82,753.92,624.98,0.16,walker
10,546,50,630.21,596.93,587.37,470.53,0.16,walker
